time,open,high,low,close
2025-05-23T02:10:00+05:30,110931.46,111107.76,110892.43,111068.24
2025-05-23T02:15:00+05:30,111068.23,111217.4,111068.23,111111.11
2025-05-23T02:20:00+05:30,111111.11,111167.22,111111.11,111130.43
2025-05-23T02:25:00+05:30,111130.44,111130.44,111000,111076.24
2025-05-23T02:30:00+05:30,111076.24,111076.24,110935.11,111000.84
2025-05-23T02:35:00+05:30,111000.84,111000.85,110890.01,110946.22
2025-05-23T02:40:00+05:30,110946.22,111003.49,110933.11,111003.48
2025-05-23T02:45:00+05:30,111003.48,111108.89,110927.2,111055.05
2025-05-23T02:50:00+05:30,111055.05,111055.06,110857.17,110871.48
2025-05-23T02:55:00+05:30,110871.49,110890.17,110765.3,110804.88
2025-05-23T03:00:00+05:30,110804.88,110912.6,110763.78,110904.03
2025-05-23T03:05:00+05:30,110904.03,111007.29,110904.02,110956.53
2025-05-23T03:10:00+05:30,110956.53,111023.09,110914.76,110967.43
2025-05-23T03:15:00+05:30,110967.44,110967.54,110763.27,110780.54
2025-05-23T03:20:00+05:30,110780.55,110869.58,110780.54,110829.21
2025-05-23T03:25:00+05:30,110829.21,110912.76,110810,110831.36
2025-05-23T03:30:00+05:30,110831.36,111086.96,110831.36,111035.06
2025-05-23T03:35:00+05:30,111035.07,111062.71,111000,111047.62
2025-05-23T03:40:00+05:30,111047.61,111139,111047.61,111074.02
2025-05-23T03:45:00+05:30,111074.02,111173.92,111028.21,111150.52
2025-05-23T03:50:00+05:30,111150.52,111159.97,111041.57,111041.61
2025-05-23T03:55:00+05:30,111041.61,111068,111035.48,111056.9
2025-05-23T04:00:00+05:30,111056.9,111183.3,111043.7,111136.37
2025-05-23T04:05:00+05:30,111136.36,111252.03,111136.36,111227.28
2025-05-23T04:10:00+05:30,111227.27,111239.96,111160.73,111163.74
2025-05-23T04:15:00+05:30,111163.74,111163.74,111066.11,111077.25
2025-05-23T04:20:00+05:30,111077.26,111098.77,110980.24,111007.16
2025-05-23T04:25:00+05:30,111007.17,111054.98,111007.16,111020.93
2025-05-23T04:30:00+05:30,111020.93,111168.36,111020.92,111089.09
2025-05-23T04:35:00+05:30,111089.09,111217.4,111089.09,111176.41
2025-05-23T04:40:00+05:30,111176.42,111240,111164.67,111240
2025-05-23T04:45:00+05:30,111239.99,111270.06,111181.87,111181.88
2025-05-23T04:50:00+05:30,111181.87,111208.59,111136.04,111136.05
2025-05-23T04:55:00+05:30,111136.04,111253.23,111136.04,111253.22
2025-05-23T05:00:00+05:30,111253.22,111444.77,111240.61,111423.74
2025-05-23T05:05:00+05:30,111423.74,111423.74,111318.2,111318.2
